D:\Final_Fyp\yolov5\ESRGAN\results\20_06_2022\esr_exp100\szabist_122_rlt.png,||0-329
D:\Final_Fyp\yolov5\ESRGAN\results\20_06_2022\esr_exp101\szabist_122_rlt.png,||0-329
