label,xmin,ymin,xmax,ymax,confidence score,timestamp,frame number,number of objects in frame
Car-Sedan-:Honda Civic,0.24292450000000004,0.3208329999999999,0.7606135,0.777083,0.85172,08:33:38,1,2
Car-Sedan-:Honda Civic,0.2511795,0.3166665,0.7747645,0.7749995000000001,0.878298,08:33:38,1,2
Car-Sedan-:Honda Civic,0.26768900000000007,0.3208335,0.788915,0.7750005,0.80869,08:33:38,1,2
Car-Sedan-:Honda Civic,0.284198,0.3208335,0.799528,0.7750005,0.813338,08:33:38,1,2
Car-Sedan-:Honda Civic,0.7205185000000001,0.3499995,0.9999994999999999,0.8229165,0.673245,08:33:37,1,1
Car-Sedan-:Honda Civic,0.29716950000000003,0.3187505,0.8148584999999999,0.7770835,0.844024,08:33:38,1,2
Car-Sedan-:Honda Civic,0.334906,0.3208335,0.8443400000000001,0.7750005,0.751816,08:33:38,1,2
Car-Sedan-:Honda Civic,0.34551899999999997,0.3208335,0.864387,0.7750005,0.827763,08:33:37,1,2
Car-Sedan-:Honda Civic,0.35259450000000003,0.32083350000000005,0.8879715,0.7791665000000001,0.772368,08:33:37,1,2
Car-Sedan-:Honda Civic,0.387972,0.3270835,0.909198,0.7750005,0.713561,08:33:37,1,2
Car-Sedan-:Honda Civic,0.396226,0.32291649999999994,0.9398580000000001,0.7749995,0.871158,08:33:37,1,2
Car-Sedan-:Honda Civic,0.42924499999999993,0.33124950000000003,0.951651,0.7791665000000001,0.874676,08:33:37,1,2
Car-Sedan-:Honda Civic,0.442217,0.32500049999999997,0.9823109999999999,0.7833334999999999,0.905494,08:33:37,1,2
Car-Sedan-:Honda Civic,0.46226449999999997,0.33124999999999993,0.9976415,0.7875,0.890423,08:33:37,1,2
Car-Sedan-:Honda Civic,0.4941035,0.32916700000000004,0.9988204999999999,0.7916670000000001,0.886861,08:33:37,1,1
Car-Sedan-:Honda Civic,0.5224055,0.335417,0.9988205,0.797917,0.896978,08:33:37,1,2
Car-Sedan-:Honda Civic,0.5436319999999999,0.3354165,1.0,0.8083335,0.918641,08:33:37,1,1
Car-Sedan-:Honda Civic,0.5790095,0.33958350000000004,1.0000005,0.8062505,0.887649,08:33:37,1,1
Car-Sedan-:Honda Civic,0.5790095,0.34375050000000007,1.0000005,0.8208335,0.857825,08:33:37,1,1
Car-Sedan-:Honda Civic,0.6450475,0.34166700000000005,1.0000005,0.822917,0.871724,08:33:37,1,1
Car-Sedan-:Honda Civic,0.2900945,0.32083350000000005,0.8360855,0.7791665000000001,0.72953,08:33:38,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.295833,0.21816,0.995833,0.607612,08:33:47,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.2937495,0.23467,0.9979165,0.794326,08:33:47,1,3
Car-HatchBack-:Suzuki Alto,-4.999999999866223e-07,0.29375,0.2488205,0.9875,0.64946,08:33:47,1,5
Car-HatchBack-:Suzuki Alto,0.0,0.364583,0.386792,0.977083,0.801638,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.3645835,0.3926885,0.9687505000000001,0.67132,08:33:39,1,3
