,Image_ID,Text
7,D:\Final_Fyp\yolov5\ESRGAN\results\20_06_2022\esr_exp1\szabist_217_rlt.png,AEZ230
9,D:\Final_Fyp\yolov5\ESRGAN\results\20_06_2022\esr_exp1\szabist_219_rlt.png,AEZ230
